"Statistic Label","Month","Detailed Sub Indices","UNIT","VALUE"
"Consumer Price Index","2016 April","Dried fruit and nuts","Base Dec 2023=100","105.3"
"Consumer Price Index","2016 April","Preserved fruit and fruit-based products","Base Dec 2023=100","75.8"
"Consumer Price Index","2016 April","Vegetables","Base Dec 2023=100","92.2"
"Consumer Price Index","2016 April","Fresh or chilled vegetables other than potatoes and other tubers","Base Dec 2023=100","92.2"
"Consumer Price Index","2016 April","Frozen vegetables other than potatoes and other tubers","Base Dec 2023=100","97.2"
"Consumer Price Index","2016 April","Dried vegetables, other preserved or processed vegetables","Base Dec 2023=100","99.1"
"Consumer Price Index","2016 April","Potatoes","Base Dec 2023=100","88"
"Consumer Price Index","2016 April","Crisps","Base Dec 2023=100","90.4"
"Consumer Price Index","2016 April","Sugar, jam, honey, chocolate and confectionery","Base Dec 2023=100","103.4"
"Consumer Price Index","2016 April","Sugar","Base Dec 2023=100","67.3"
"Consumer Price Index","2016 April","Jams, marmalades and honey","Base Dec 2023=100","110.6"
"Consumer Price Index","2016 April","Chocolate","Base Dec 2023=100","110.6"
"Consumer Price Index","2016 April","Confectionery products","Base Dec 2023=100","93.5"
"Consumer Price Index","2016 April","Edible ices and ice cream","Base Dec 2023=100","112.2"
"Consumer Price Index","2016 April","Artifical sugar substitutes","Base Dec 2023=100","96"
"Consumer Price Index","2016 April","Food products n.e.c.","Base Dec 2023=100","86.7"
"Consumer Price Index","2016 April","Sauces and condiments","Base Dec 2023=100","88"
"Consumer Price Index","2016 April","Salt, spices and culinary herbs","Base Dec 2023=100","87.1"
"Consumer Price Index","2016 April","Baby food","Base Dec 2023=100","82.6"
"Consumer Price Index","2016 April","Ready-made meals","Base Dec 2023=100","85.4"
"Consumer Price Index","2016 April","Other food products n.e.c.","Base Dec 2023=100","85.4"
"Consumer Price Index","2016 April","Non-alcoholic beverages","Base Dec 2023=100","90"
"Consumer Price Index","2016 April","Coffee, tea and cocoa","Base Dec 2023=100","98.6"
"Consumer Price Index","2016 April","Coffee","Base Dec 2023=100","101.4"
"Consumer Price Index","2016 April","Tea","Base Dec 2023=100","96.2"
"Consumer Price Index","2016 April","Cocoa and powdered chocolate","Base Dec 2023=100","118.9"
"Consumer Price Index","2016 April","Mineral waters, soft drinks, fruit and vegetable juices","Base Dec 2023=100","86.8"
"Consumer Price Index","2016 April","Mineral or spring waters","Base Dec 2023=100","88"
"Consumer Price Index","2016 April","Soft drinks","Base Dec 2023=100","82.3"
"Consumer Price Index","2016 April","Fruit and vegetable juices","Base Dec 2023=100","88.9"
"Consumer Price Index","2016 May","All items","Base Dec 2023=100","83.2"
"Consumer Price Index","2016 May","Food and non-alcoholic beverages","Base Dec 2023=100","90"
"Consumer Price Index","2016 May","Food","Base Dec 2023=100","90"
"Consumer Price Index","2016 May","Bread and cereals","Base Dec 2023=100","88.3"
"Consumer Price Index","2016 May","Rice","Base Dec 2023=100","107.1"
"Consumer Price Index","2016 May","Flours and other cereals","Base Dec 2023=100","94.4"
"Consumer Price Index","2016 May","Bread","Base Dec 2023=100","80.1"
"Consumer Price Index","2016 May","Other bakery products","Base Dec 2023=100","87.3"
"Consumer Price Index","2016 May","Pizza and quiche","Base Dec 2023=100","107.1"
"Consumer Price Index","2016 May","Pasta products and couscous","Base Dec 2023=100","80.5"
"Consumer Price Index","2016 May","Breakfast cereals","Base Dec 2023=100","99.9"
"Consumer Price Index","2016 May","Other cereal products","Base Dec 2023=100","97.2"
"Consumer Price Index","2016 May","Meat","Base Dec 2023=100","89.6"
"Consumer Price Index","2016 May","Beef and veal","Base Dec 2023=100","101"
"Consumer Price Index","2016 May","Pork","Base Dec 2023=100","90.4"
"Consumer Price Index","2016 May","Lamb and goat","Base Dec 2023=100","87.6"
"Consumer Price Index","2016 May","Poultry","Base Dec 2023=100","86.5"
"Consumer Price Index","2016 May","Edible offal","Base Dec 2023=100","97"
"Consumer Price Index","2016 May","Dried, salted or smoked meat","Base Dec 2023=100","86.6"
"Consumer Price Index","2016 May","Other meat preparations","Base Dec 2023=100","88.6"
"Consumer Price Index","2016 May","Fish","Base Dec 2023=100","92.1"
"Consumer Price Index","2016 May","Fresh or chilled fish","Base Dec 2023=100","87"
"Consumer Price Index","2016 May","Frozen fish","Base Dec 2023=100","97.7"
"Consumer Price Index","2016 May","Fresh or chilled seafood","Base Dec 2023=100","110.4"
"Consumer Price Index","2016 May","Dried, smoked or salted fish and seafood","Base Dec 2023=100","85.4"
"Consumer Price Index","2016 May","Other preserved or processed fish and seafood-based preparations","Base Dec 2023=100","96"
"Consumer Price Index","2016 May","Milk, cheese and eggs","Base Dec 2023=100","84.9"
"Consumer Price Index","2016 May","Fresh whole milk","Base Dec 2023=100","78.1"
"Consumer Price Index","2016 May","Fresh low fat milk","Base Dec 2023=100","83.2"
"Consumer Price Index","2016 May","Yoghurt","Base Dec 2023=100","80.3"
"Consumer Price Index","2016 May","Cheese and curd","Base Dec 2023=100","99.5"
"Consumer Price Index","2016 May","Other milk products","Base Dec 2023=100","87.1"
"Consumer Price Index","2016 May","Eggs","Base Dec 2023=100","84.7"
"Consumer Price Index","2016 May","Oils and fats","Base Dec 2023=100","76.3"
"Consumer Price Index","2016 May","Butter","Base Dec 2023=100","72.3"
"Consumer Price Index","2016 May","Margarine and other vegetable fats","Base Dec 2023=100","75.1"
"Consumer Price Index","2016 May","Olive oil","Base Dec 2023=100","87"
"Consumer Price Index","2016 May","Other edible oils","Base Dec 2023=100","88.3"
"Consumer Price Index","2016 May","Fruit","Base Dec 2023=100","90.8"
"Consumer Price Index","2016 May","Fresh or chilled fruit","Base Dec 2023=100","88.9"
"Consumer Price Index","2016 May","Dried fruit and nuts","Base Dec 2023=100","105.3"
"Consumer Price Index","2016 May","Preserved fruit and fruit-based products","Base Dec 2023=100","75.8"
"Consumer Price Index","2016 May","Vegetables","Base Dec 2023=100","92.4"
"Consumer Price Index","2016 May","Fresh or chilled vegetables other than potatoes and other tubers","Base Dec 2023=100","93.3"
"Consumer Price Index","2016 May","Frozen vegetables other than potatoes and other tubers","Base Dec 2023=100","96.7"
"Consumer Price Index","2016 May","Dried vegetables, other preserved or processed vegetables","Base Dec 2023=100","98.7"
"Consumer Price Index","2016 May","Potatoes","Base Dec 2023=100","86.9"
"Consumer Price Index","2016 May","Crisps","Base Dec 2023=100","90.8"
"Consumer Price Index","2016 May","Sugar, jam, honey, chocolate and confectionery","Base Dec 2023=100","102.4"
"Consumer Price Index","2016 May","Sugar","Base Dec 2023=100","67.5"
"Consumer Price Index","2016 May","Jams, marmalades and honey","Base Dec 2023=100","113.6"
"Consumer Price Index","2016 May","Chocolate","Base Dec 2023=100","105.6"
"Consumer Price Index","2016 May","Confectionery products","Base Dec 2023=100","92.6"
"Consumer Price Index","2016 May","Edible ices and ice cream","Base Dec 2023=100","117.2"
"Consumer Price Index","2016 May","Artifical sugar substitutes","Base Dec 2023=100","97.8"
"Consumer Price Index","2016 May","Food products n.e.c.","Base Dec 2023=100","86.8"
"Consumer Price Index","2016 May","Sauces and condiments","Base Dec 2023=100","88.7"
"Consumer Price Index","2016 May","Salt, spices and culinary herbs","Base Dec 2023=100","86.9"
"Consumer Price Index","2016 May","Baby food","Base Dec 2023=100","82.7"
"Consumer Price Index","2016 May","Ready-made meals","Base Dec 2023=100","86.2"
"Consumer Price Index","2016 May","Other food products n.e.c.","Base Dec 2023=100","84"
"Consumer Price Index","2016 May","Non-alcoholic beverages","Base Dec 2023=100","89.9"
"Consumer Price Index","2016 May","Coffee, tea and cocoa","Base Dec 2023=100","96.4"
"Consumer Price Index","2016 May","Coffee","Base Dec 2023=100","99.7"
"Consumer Price Index","2016 May","Tea","Base Dec 2023=100","93.2"
"Consumer Price Index","2016 May","Cocoa and powdered chocolate","Base Dec 2023=100","122.5"
"Consumer Price Index","2016 May","Mineral waters, soft drinks, fruit and vegetable juices","Base Dec 2023=100","87.1"
"Consumer Price Index","2016 May","Mineral or spring waters","Base Dec 2023=100","87.8"
"Consumer Price Index","2016 May","Soft drinks","Base Dec 2023=100","83.2"
"Consumer Price Index","2016 May","Fruit and vegetable juices","Base Dec 2023=100","87.7"
"Consumer Price Index","2016 June","All items","Base Dec 2023=100","83.7"
"Consumer Price Index","2016 June","Food and non-alcoholic beverages","Base Dec 2023=100","89.9"
"Consumer Price Index","2016 June","Food","Base Dec 2023=100","90"
"Consumer Price Index","2016 June","Bread and cereals","Base Dec 2023=100","87.9"
"Consumer Price Index","2016 June","Rice","Base Dec 2023=100","106.6"
"Consumer Price Index","2016 June","Flours and other cereals","Base Dec 2023=100","93.1"
"Consumer Price Index","2016 June","Bread","Base Dec 2023=100","80.4"
"Consumer Price Index","2016 June","Other bakery products","Base Dec 2023=100","87.9"
"Consumer Price Index","2016 June","Pizza and quiche","Base Dec 2023=100","93.2"
"Consumer Price Index","2016 June","Pasta products and couscous","Base Dec 2023=100","82.6"
"Consumer Price Index","2016 June","Breakfast cereals","Base Dec 2023=100","100.3"
"Consumer Price Index","2016 June","Other cereal products","Base Dec 2023=100","99.6"
"Consumer Price Index","2016 June","Meat","Base Dec 2023=100","89.7"
"Consumer Price Index","2016 June","Beef and veal","Base Dec 2023=100","100.1"
"Consumer Price Index","2016 June","Pork","Base Dec 2023=100","96.1"
"Consumer Price Index","2016 June","Lamb and goat","Base Dec 2023=100","89"
"Consumer Price Index","2016 June","Poultry","Base Dec 2023=100","86.2"
"Consumer Price Index","2016 June","Edible offal","Base Dec 2023=100","97.1"
"Consumer Price Index","2016 June","Dried, salted or smoked meat","Base Dec 2023=100","86.6"
"Consumer Price Index","2016 June","Other meat preparations","Base Dec 2023=100","87.9"
"Consumer Price Index","2016 June","Fish","Base Dec 2023=100","92.4"
"Consumer Price Index","2016 June","Fresh or chilled fish","Base Dec 2023=100","88.5"
"Consumer Price Index","2016 June","Frozen fish","Base Dec 2023=100","97.3"
"Consumer Price Index","2016 June","Fresh or chilled seafood","Base Dec 2023=100","112.2"
"Consumer Price Index","2016 June","Dried, smoked or salted fish and seafood","Base Dec 2023=100","85"
"Consumer Price Index","2016 June","Other preserved or processed fish and seafood-based preparations","Base Dec 2023=100","94.3"
"Consumer Price Index","2016 June","Milk, cheese and eggs","Base Dec 2023=100","84.3"
"Consumer Price Index","2016 June","Fresh whole milk","Base Dec 2023=100","77.8"
"Consumer Price Index","2016 June","Fresh low fat milk","Base Dec 2023=100","83.2"
"Consumer Price Index","2016 June","Yoghurt","Base Dec 2023=100","80.1"
"Consumer Price Index","2016 June","Cheese and curd","Base Dec 2023=100","98"
"Consumer Price Index","2016 June","Other milk products","Base Dec 2023=100","86"
"Consumer Price Index","2016 June","Eggs","Base Dec 2023=100","84"
"Consumer Price Index","2016 June","Oils and fats","Base Dec 2023=100","76.2"
"Consumer Price Index","2016 June","Butter","Base Dec 2023=100","71.7"
"Consumer Price Index","2016 June","Margarine and other vegetable fats","Base Dec 2023=100","75.5"
"Consumer Price Index","2016 June","Olive oil","Base Dec 2023=100","87"
"Consumer Price Index","2016 June","Other edible oils","Base Dec 2023=100","88.3"
"Consumer Price Index","2016 June","Fruit","Base Dec 2023=100","91.5"
"Consumer Price Index","2016 June","Fresh or chilled fruit","Base Dec 2023=100","89.8"
"Consumer Price Index","2016 June","Dried fruit and nuts","Base Dec 2023=100","104.9"
"Consumer Price Index","2016 June","Preserved fruit and fruit-based products","Base Dec 2023=100","74"
"Consumer Price Index","2016 June","Vegetables","Base Dec 2023=100","92"
"Consumer Price Index","2016 June","Fresh or chilled vegetables other than potatoes and other tubers","Base Dec 2023=100","92.6"
"Consumer Price Index","2016 June","Frozen vegetables other than potatoes and other tubers","Base Dec 2023=100","96.6"
"Consumer Price Index","2016 June","Dried vegetables, other preserved or processed vegetables","Base Dec 2023=100","98.3"
"Consumer Price Index","2016 June","Potatoes","Base Dec 2023=100","87.6"
"Consumer Price Index","2016 June","Crisps","Base Dec 2023=100","89.5"
"Consumer Price Index","2016 June","Sugar, jam, honey, chocolate and confectionery","Base Dec 2023=100","103.6"
"Consumer Price Index","2016 June","Sugar","Base Dec 2023=100","66.9"
"Consumer Price Index","2016 June","Jams, marmalades and honey","Base Dec 2023=100","111.3"
"Consumer Price Index","2016 June","Chocolate","Base Dec 2023=100","110.7"
"Consumer Price Index","2016 June","Confectionery products","Base Dec 2023=100","94.2"
"Consumer Price Index","2016 June","Edible ices and ice cream","Base Dec 2023=100","112.4"
"Consumer Price Index","2016 June","Artifical sugar substitutes","Base Dec 2023=100","97.1"
"Consumer Price Index","2016 June","Food products n.e.c.","Base Dec 2023=100","86.6"
"Consumer Price Index","2016 June","Sauces and condiments","Base Dec 2023=100","89.5"
"Consumer Price Index","2016 June","Salt, spices and culinary herbs","Base Dec 2023=100","86.4"
"Consumer Price Index","2016 June","Baby food","Base Dec 2023=100","82.2"
"Consumer Price Index","2016 June","Ready-made meals","Base Dec 2023=100","84.5"
"Consumer Price Index","2016 June","Other food products n.e.c.","Base Dec 2023=100","84.8"
"Consumer Price Index","2016 June","Non-alcoholic beverages","Base Dec 2023=100","89.4"
"Consumer Price Index","2016 June","Coffee, tea and cocoa","Base Dec 2023=100","96.8"
"Consumer Price Index","2016 June","Coffee","Base Dec 2023=100","100.2"
"Consumer Price Index","2016 June","Tea","Base Dec 2023=100","93.7"
"Consumer Price Index","2016 June","Cocoa and powdered chocolate","Base Dec 2023=100","120.7"
"Consumer Price Index","2016 June","Mineral waters, soft drinks, fruit and vegetable juices","Base Dec 2023=100","86.5"
"Consumer Price Index","2016 June","Mineral or spring waters","Base Dec 2023=100","89"
"Consumer Price Index","2016 June","Soft drinks","Base Dec 2023=100","82.1"
"Consumer Price Index","2016 June","Fruit and vegetable juices","Base Dec 2023=100","87.3"
"Consumer Price Index","2016 July","All items","Base Dec 2023=100","83.5"
"Consumer Price Index","2016 July","Food and non-alcoholic beverages","Base Dec 2023=100","89.5"
"Consumer Price Index","2016 July","Food","Base Dec 2023=100","89.6"
"Consumer Price Index","2016 July","Bread and cereals","Base Dec 2023=100","88.3"
"Consumer Price Index","2016 July","Rice","Base Dec 2023=100","107.2"
"Consumer Price Index","2016 July","Flours and other cereals","Base Dec 2023=100","95.4"
"Consumer Price Index","2016 July","Bread","Base Dec 2023=100","80.4"
"Consumer Price Index","2016 July","Other bakery products","Base Dec 2023=100","88.2"
"Consumer Price Index","2016 July","Pizza and quiche","Base Dec 2023=100","98.7"
"Consumer Price Index","2016 July","Pasta products and couscous","Base Dec 2023=100","81"
"Consumer Price Index","2016 July","Breakfast cereals","Base Dec 2023=100","101.4"
"Consumer Price Index","2016 July","Other cereal products","Base Dec 2023=100","94.8"
"Consumer Price Index","2016 July","Meat","Base Dec 2023=100","88.5"
"Consumer Price Index","2016 July","Beef and veal","Base Dec 2023=100","96.4"
"Consumer Price Index","2016 July","Pork","Base Dec 2023=100","88.3"
"Consumer Price Index","2016 July","Lamb and goat","Base Dec 2023=100","87.2"
"Consumer Price Index","2016 July","Poultry","Base Dec 2023=100","86.3"
"Consumer Price Index","2016 July","Edible offal","Base Dec 2023=100","97"
"Consumer Price Index","2016 July","Dried, salted or smoked meat","Base Dec 2023=100","86.3"
"Consumer Price Index","2016 July","Other meat preparations","Base Dec 2023=100","88.1"
"Consumer Price Index","2016 July","Fish","Base Dec 2023=100","93.7"
"Consumer Price Index","2016 July","Fresh or chilled fish","Base Dec 2023=100","89.4"
"Consumer Price Index","2016 July","Frozen fish","Base Dec 2023=100","98.3"
"Consumer Price Index","2016 July","Fresh or chilled seafood","Base Dec 2023=100","109.8"
"Consumer Price Index","2016 July","Dried, smoked or salted fish and seafood","Base Dec 2023=100","86.8"
"Consumer Price Index","2016 July","Other preserved or processed fish and seafood-based preparations","Base Dec 2023=100","98.3"
"Consumer Price Index","2016 July","Milk, cheese and eggs","Base Dec 2023=100","84.1"
"Consumer Price Index","2016 July","Fresh whole milk","Base Dec 2023=100","77.8"
"Consumer Price Index","2016 July","Fresh low fat milk","Base Dec 2023=100","83.2"
"Consumer Price Index","2016 July","Yoghurt","Base Dec 2023=100","78.5"
"Consumer Price Index","2016 July","Cheese and curd","Base Dec 2023=100","98"
"Consumer Price Index","2016 July","Other milk products","Base Dec 2023=100","87.5"
"Consumer Price Index","2016 July","Eggs","Base Dec 2023=100","83.8"
"Consumer Price Index","2016 July","Oils and fats","Base Dec 2023=100","75.7"
"Consumer Price Index","2016 July","Butter","Base Dec 2023=100","71.3"
"Consumer Price Index","2016 July","Margarine and other vegetable fats","Base Dec 2023=100","74.6"
"Consumer Price Index","2016 July","Olive oil","Base Dec 2023=100","87.5"
"Consumer Price Index","2016 July","Other edible oils","Base Dec 2023=100","87.9"
"Consumer Price Index","2016 July","Fruit","Base Dec 2023=100","91.9"
"Consumer Price Index","2016 July","Fresh or chilled fruit","Base Dec 2023=100","90.3"
"Consumer Price Index","2016 July","Dried fruit and nuts","Base Dec 2023=100","104.3"
"Consumer Price Index","2016 July","Preserved fruit and fruit-based products","Base Dec 2023=100","75.8"
"Consumer Price Index","2016 July","Vegetables","Base Dec 2023=100","92.4"
"Consumer Price Index","2016 July","Fresh or chilled vegetables other than potatoes and other tubers","Base Dec 2023=100","92.7"
"Consumer Price Index","2016 July","Frozen vegetables other than potatoes and other tubers","Base Dec 2023=100","97.2"
"Consumer Price Index","2016 July","Dried vegetables, other preserved or processed vegetables","Base Dec 2023=100","98"
"Consumer Price Index","2016 July","Potatoes","Base Dec 2023=100","89.6"
"Consumer Price Index","2016 July","Crisps","Base Dec 2023=100","88.9"
"Consumer Price Index","2016 July","Sugar, jam, honey, chocolate and confectionery","Base Dec 2023=100","101.4"
"Consumer Price Index","2016 July","Sugar","Base Dec 2023=100","67.1"
"Consumer Price Index","2016 July","Jams, marmalades and honey","Base Dec 2023=100","111.5"
"Consumer Price Index","2016 July","Chocolate","Base Dec 2023=100","106.1"
"Consumer Price Index","2016 July","Confectionery products","Base Dec 2023=100","90.9"
"Consumer Price Index","2016 July","Edible ices and ice cream","Base Dec 2023=100","113.8"
"Consumer Price Index","2016 July","Artifical sugar substitutes","Base Dec 2023=100","98.1"
"Consumer Price Index","2016 July","Food products n.e.c.","Base Dec 2023=100","86.1"
"Consumer Price Index","2016 July","Sauces and condiments","Base Dec 2023=100","85.6"
"Consumer Price Index","2016 July","Salt, spices and culinary herbs","Base Dec 2023=100","85.8"
"Consumer Price Index","2016 July","Baby food","Base Dec 2023=100","82.9"
"Consumer Price Index","2016 July","Ready-made meals","Base Dec 2023=100","86.4"
"Consumer Price Index","2016 July","Other food products n.e.c.","Base Dec 2023=100","84.6"
"Consumer Price Index","2016 July","Non-alcoholic beverages","Base Dec 2023=100","88.4"
"Consumer Price Index","2016 July","Coffee, tea and cocoa","Base Dec 2023=100","98.5"
"Consumer Price Index","2016 July","Coffee","Base Dec 2023=100","103"
"Consumer Price Index","2016 July","Tea","Base Dec 2023=100","94.6"
"Consumer Price Index","2016 July","Cocoa and powdered chocolate","Base Dec 2023=100","122.4"
"Consumer Price Index","2016 July","Mineral waters, soft drinks, fruit and vegetable juices","Base Dec 2023=100","85"
"Consumer Price Index","2016 July","Mineral or spring waters","Base Dec 2023=100","86.1"
"Consumer Price Index","2016 July","Soft drinks","Base Dec 2023=100","80.3"
"Consumer Price Index","2016 July","Fruit and vegetable juices","Base Dec 2023=100","87.5"
"Consumer Price Index","2016 August","All items","Base Dec 2023=100","83.4"
"Consumer Price Index","2016 August","Food and non-alcoholic beverages","Base Dec 2023=100","89.6"
"Consumer Price Index","2016 August","Food","Base Dec 2023=100","89.7"
"Consumer Price Index","2016 August","Bread and cereals","Base Dec 2023=100","87.6"
"Consumer Price Index","2016 August","Rice","Base Dec 2023=100","106.9"
"Consumer Price Index","2016 August","Flours and other cereals","Base Dec 2023=100","95.2"
"Consumer Price Index","2016 August","Bread","Base Dec 2023=100","80.1"
"Consumer Price Index","2016 August","Other bakery products","Base Dec 2023=100","86.4"
"Consumer Price Index","2016 August","Pizza and quiche","Base Dec 2023=100","102"
"Consumer Price Index","2016 August","Pasta products and couscous","Base Dec 2023=100","80.3"
"Consumer Price Index","2016 August","Breakfast cereals","Base Dec 2023=100","98.8"
"Consumer Price Index","2016 August","Other cereal products","Base Dec 2023=100","96.2"
"Consumer Price Index","2016 August","Meat","Base Dec 2023=100","89"
"Consumer Price Index","2016 August","Beef and veal","Base Dec 2023=100","98.8"
"Consumer Price Index","2016 August","Pork","Base Dec 2023=100","91.4"
"Consumer Price Index","2016 August","Lamb and goat","Base Dec 2023=100","84.4"
"Consumer Price Index","2016 August","Poultry","Base Dec 2023=100","86.3"
"Consumer Price Index","2016 August","Edible offal","Base Dec 2023=100","96.8"
"Consumer Price Index","2016 August","Dried, salted or smoked meat","Base Dec 2023=100","86.4"
"Consumer Price Index","2016 August","Other meat preparations","Base Dec 2023=100","88.6"
"Consumer Price Index","2016 August","Fish","Base Dec 2023=100","95"
"Consumer Price Index","2016 August","Fresh or chilled fish","Base Dec 2023=100","94.1"
"Consumer Price Index","2016 August","Frozen fish","Base Dec 2023=100","96.2"
"Consumer Price Index","2016 August","Fresh or chilled seafood","Base Dec 2023=100","110.6"
"Consumer Price Index","2016 August","Dried, smoked or salted fish and seafood","Base Dec 2023=100","86.5"
"Consumer Price Index","2016 August","Other preserved or processed fish and seafood-based preparations","Base Dec 2023=100","96.6"
"Consumer Price Index","2016 August","Milk, cheese and eggs","Base Dec 2023=100","84.2"
"Consumer Price Index","2016 August","Fresh whole milk","Base Dec 2023=100","77.8"
"Consumer Price Index","2016 August","Fresh low fat milk","Base Dec 2023=100","83.1"
"Consumer Price Index","2016 August","Yoghurt","Base Dec 2023=100","79"
"Consumer Price Index","2016 August","Cheese and curd","Base Dec 2023=100","98.1"
"Consumer Price Index","2016 August","Other milk products","Base Dec 2023=100","87"
"Consumer Price Index","2016 August","Eggs","Base Dec 2023=100","83.7"
"Consumer Price Index","2016 August","Oils and fats","Base Dec 2023=100","76.2"
"Consumer Price Index","2016 August","Butter","Base Dec 2023=100","72.1"
"Consumer Price Index","2016 August","Margarine and other vegetable fats","Base Dec 2023=100","75.1"
"Consumer Price Index","2016 August","Olive oil","Base Dec 2023=100","85.8"
"Consumer Price Index","2016 August","Other edible oils","Base Dec 2023=100","88.6"
"Consumer Price Index","2016 August","Fruit","Base Dec 2023=100","91.2"
"Consumer Price Index","2016 August","Fresh or chilled fruit","Base Dec 2023=100","90"
"Consumer Price Index","2016 August","Dried fruit and nuts","Base Dec 2023=100","101.9"
"Consumer Price Index","2016 August","Preserved fruit and fruit-based products","Base Dec 2023=100","72.7"
"Consumer Price Index","2016 August","Vegetables","Base Dec 2023=100","92.6"
"Consumer Price Index","2016 August","Fresh or chilled vegetables other than potatoes and other tubers","Base Dec 2023=100","92.3"
"Consumer Price Index","2016 August","Frozen vegetables other than potatoes and other tubers","Base Dec 2023=100","96.3"
"Consumer Price Index","2016 August","Dried vegetables, other preserved or processed vegetables","Base Dec 2023=100","97.4"
"Consumer Price Index","2016 August","Potatoes","Base Dec 2023=100","90.4"
"Consumer Price Index","2016 August","Crisps","Base Dec 2023=100","91.5"
"Consumer Price Index","2016 August","Sugar, jam, honey, chocolate and confectionery","Base Dec 2023=100","102.3"
"Consumer Price Index","2016 August","Sugar","Base Dec 2023=100","66.8"
"Consumer Price Index","2016 August","Jams, marmalades and honey","Base Dec 2023=100","112.7"
"Consumer Price Index","2016 August","Chocolate","Base Dec 2023=100","108"
"Consumer Price Index","2016 August","Confectionery products","Base Dec 2023=100","91.7"
"Consumer Price Index","2016 August","Edible ices and ice cream","Base Dec 2023=100","113"
"Consumer Price Index","2016 August","Artifical sugar substitutes","Base Dec 2023=100","94.3"
"Consumer Price Index","2016 August","Food products n.e.c.","Base Dec 2023=100","85.9"
"Consumer Price Index","2016 August","Sauces and condiments","Base Dec 2023=100","85.4"
"Consumer Price Index","2016 August","Salt, spices and culinary herbs","Base Dec 2023=100","86.6"
"Consumer Price Index","2016 August","Baby food","Base Dec 2023=100","83"
"Consumer Price Index","2016 August","Ready-made meals","Base Dec 2023=100","85.9"
"Consumer Price Index","2016 August","Other food products n.e.c.","Base Dec 2023=100","84.3"
"Consumer Price Index","2016 August","Non-alcoholic beverages","Base Dec 2023=100","87.8"
"Consumer Price Index","2016 August","Coffee, tea and cocoa","Base Dec 2023=100","97"
"Consumer Price Index","2016 August","Coffee","Base Dec 2023=100","100.2"
"Consumer Price Index","2016 August","Tea","Base Dec 2023=100","94.1"
"Consumer Price Index","2016 August","Cocoa and powdered chocolate","Base Dec 2023=100","120.1"
"Consumer Price Index","2016 August","Mineral waters, soft drinks, fruit and vegetable juices","Base Dec 2023=100","84.6"
"Consumer Price Index","2016 August","Mineral or spring waters","Base Dec 2023=100","85.8"
"Consumer Price Index","2016 August","Soft drinks","Base Dec 2023=100","79.5"
"Consumer Price Index","2016 August","Fruit and vegetable juices","Base Dec 2023=100","88.2"
"Consumer Price Index","2016 September","All items","Base Dec 2023=100","83"
"Consumer Price Index","2016 September","Food and non-alcoholic beverages","Base Dec 2023=100","89.2"
"Consumer Price Index","2016 September","Food","Base Dec 2023=100","89"
"Consumer Price Index","2016 September","Bread and cereals","Base Dec 2023=100","86.5"
"Consumer Price Index","2016 September","Rice","Base Dec 2023=100","104.1"
"Consumer Price Index","2016 September","Flours and other cereals","Base Dec 2023=100","92.1"
"Consumer Price Index","2016 September","Bread","Base Dec 2023=100","80.3"
"Consumer Price Index","2016 September","Other bakery products","Base Dec 2023=100","86.4"
"Consumer Price Index","2016 September","Pizza and quiche","Base Dec 2023=100","93.2"
"Consumer Price Index","2016 September","Pasta products and couscous","Base Dec 2023=100","80.9"
"Consumer Price Index","2016 September","Breakfast cereals","Base Dec 2023=100","96.8"
"Consumer Price Index","2016 September","Other cereal products","Base Dec 2023=100","89.6"
"Consumer Price Index","2016 September","Meat","Base Dec 2023=100","88.9"
"Consumer Price Index","2016 September","Beef and veal","Base Dec 2023=100","99.3"
"Consumer Price Index","2016 September","Pork","Base Dec 2023=100","97"
"Consumer Price Index","2016 September","Lamb and goat","Base Dec 2023=100","83"
"Consumer Price Index","2016 September","Poultry","Base Dec 2023=100","86.2"
"Consumer Price Index","2016 September","Edible offal","Base Dec 2023=100","96.7"
"Consumer Price Index","2016 September","Dried, salted or smoked meat","Base Dec 2023=100","85.8"
"Consumer Price Index","2016 September","Other meat preparations","Base Dec 2023=100","87.8"
"Consumer Price Index","2016 September","Fish","Base Dec 2023=100","96.1"
"Consumer Price Index","2016 September","Fresh or chilled fish","Base Dec 2023=100","96"
"Consumer Price Index","2016 September","Frozen fish","Base Dec 2023=100","96.8"
"Consumer Price Index","2016 September","Fresh or chilled seafood","Base Dec 2023=100","110.4"
"Consumer Price Index","2016 September","Dried, smoked or salted fish and seafood","Base Dec 2023=100","86.4"
"Consumer Price Index","2016 September","Other preserved or processed fish and seafood-based preparations","Base Dec 2023=100","97.9"
"Consumer Price Index","2016 September","Milk, cheese and eggs","Base Dec 2023=100","83"
"Consumer Price Index","2016 September","Fresh whole milk","Base Dec 2023=100","77.6"
"Consumer Price Index","2016 September","Fresh low fat milk","Base Dec 2023=100","83.1"
"Consumer Price Index","2016 September","Yoghurt","Base Dec 2023=100","76.5"
"Consumer Price Index","2016 September","Cheese and curd","Base Dec 2023=100","95.6"
"Consumer Price Index","2016 September","Other milk products","Base Dec 2023=100","85.2"
"Consumer Price Index","2016 September","Eggs","Base Dec 2023=100","83.7"
"Consumer Price Index","2016 September","Oils and fats","Base Dec 2023=100","75.6"
"Consumer Price Index","2016 September","Butter","Base Dec 2023=100","71.1"
"Consumer Price Index","2016 September","Margarine and other vegetable fats","Base Dec 2023=100","75.4"
"Consumer Price Index","2016 September","Olive oil","Base Dec 2023=100","85.3"
